"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","InstrumentPropertyAccessors","JS","Enabled","JVM","Dedicated","Native","FlushEarly","TestKIR","Methods","Common","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"107831.42","107408.5","3346.5428343962644","101466","124122","106903.80565236072","108759.03434763927","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14675.4762","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121721.04","120578","4495.777923922009","112816","132860","120474.87393776809","122967.2060622319","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3119.2117","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2904.8818","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110756.88","110055","5028.903339857772","104304","137552","109362.93911181032","112150.82088818969","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14675.4762","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125463.32","125352","4761.018633246719","113032","140964","124143.6329641177","126783.00703588231","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2750.6527","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3945.5442","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108886.78","108976","2660.7168612835094","102173","114119","108149.26691331106","109624.29308668894","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18662.5577","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"126538.82","126098","5361.278840320979","113935","137542","125052.74932346142","128024.89067653859","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2750.6527","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3945.5442","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113010.46","112515","7177.671384116672","107004","160160","111020.9109973357","115000.00900266432","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18662.5577","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"123370.08","123412","4243.562143640502","112498","133051","122193.82458528335","124546.33541471665","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2397.8199","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4030.1157","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109899.16","110153","2113.4513253183277","105547","114643","109313.34118057461","110484.97881942539","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14184.9753","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"124028.86","123245.5","4526.220426288024","115662","135788","122774.25570662325","125283.46429337675","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2397.8199","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4030.1157","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108733.92","108753.5","2211.6331193699098","102608","113588","108120.88657572833","109346.95342427166","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14184.9753","50","False","500","True","System.Boolean[]","True","System.Boolean[]","True","False","True","System.Boolean[]","System.Boolean[]","System.String[]","True","ci-linux-large","2026-09-26 04:06:17","8e54424c694490e0726cc8c7511bd5aaf510972f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","13.81","145","82","0.04","156","7.6.6","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
