"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Dedicated","Common","JVM","JS","FlushEarly","Enabled","CILabel","Reference","InstrumentPropertyAccessors","Native","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5376","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243508.02","242942","7276.406016007898","230217","261962","241491.10315365836","245524.93684634162","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25871.6793","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219637.4","210673","18665.317279458635","197000","254901","214463.63801084895","224811.16198915103","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4362.9899","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5376","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245637.6","244313.5","7708.1781272111475","235010","269927","243501.00203045685","247774.19796954317","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25871.6793","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212761","212350.5","5475.05487811468","203091","227882","211243.39221478012","214278.60778521988","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4491.0518","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5349.9659","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245386.98","244620.5","7550.13599144994","233955","279310","243294.18907549354","247479.77092450648","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","32026.4931","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215657.46","213754","10178.543595370467","204629","260681","212836.11165803537","218478.8083419646","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4491.0518","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5349.9659","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248811.06","245370.5","9885.682246872111","237442","283047","246070.88868225986","251551.23131774014","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","32026.4931","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220096.94","216142.5","14928.259017113845","201886","281190","215959.0377125343","224234.8422874657","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4271.4639","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4875.6384","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"257307.06","249489","31428.91712174166","234442","453545","248595.40863452366","266018.7113654763","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27166.5818","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219818.52","216403.5","11417.549174523097","204927","250473","216653.73683323222","222983.30316676776","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4271.4639","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4875.6384","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"275656.64","275465","18908.048563508608","248627","346550","270415.5963315615","280897.6836684385","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","27166.5818","50","False","500","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","2026-08-23 00:51:43","d9b997125740297ca9667cf24a5d2a0d15b922cb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.21","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.9","High performance","0.08","142","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
