"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Native","InstrumentPropertyAccessors","Enabled","Methods","JVM","TestKIR","FlushEarly","Dedicated","CILabel","JS","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4777.6595","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230210.58","227619","7550.840548128752","223998","260869","228117.59378234582","232303.56621765415","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26930.6103","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178143.32","176772.5","5980.551037474452","171922","207505","176485.59582801847","179801.04417198154","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3138.7201","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4777.6595","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228673.72","227819.5","4319.257428809556","224078","248409","227476.48292270018","229870.95707729983","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","26930.6103","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176886.64","176307.5","3474.949664941573","173135","190939","175923.43309483406","177849.84690516596","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4008.4188","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4380.2503","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230677.2","226931.5","10929.213814920306","224407","289469","227647.77648898543","233706.6235110146","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25666.7276","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178331.26","176775","6719.847686593828","172399","209815","176468.61325184937","180193.90674815065","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4008.4188","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4380.2503","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228779.04","228020","4142.036174617109","223397","242393","227630.92614813923","229927.15385186078","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25666.7276","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176251.5","176020","1999.0356884441733","172662","181888","175697.39557707595","176805.60442292405","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3426.6421","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4813.2197","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229603.48","227352","7671.149306542359","223701","269408","227477.145895893","231729.81410410703","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25359.6177","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178822.98","178355.5","3696.0474337114365","174586","197346","177798.48792004594","179847.47207995408","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3426.6421","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4813.2197","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228886","227856","3290.659713026975","224746","240622","227973.87566331777","229798.12433668223","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25359.6177","50","False","500","True","True","System.Boolean[]","System.Boolean[]","System.String[]","True","System.Boolean[]","System.Boolean[]","False","ci-windows-large","True","True","2026-05-20 02:35:51","7b845f2a6a74fd0c27f09a5f564cf8baa0345e3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.23","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.27","High performance","0.61","128","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
