"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","FlushEarly","Methods","Dedicated","Enabled","Native","JS","Common","Reference","CILabel","TestKIR","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4040.5402","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182836.16","180067","6134.603998529613","176719","202856","181135.7345257963","184536.58547420372","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","18027.6172","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144530.96","144115.5","3449.8095656403525","140331","159943","143574.72157483472","145487.19842516526","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2640.6731","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4040.5402","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179600.46","178508.5","4049.3881332207948","175629","194709","178478.02687500653","180722.89312499345","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","18027.6172","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144382.36","143854","2996.720103372883","138817","159140","143551.71156628607","145213.0084337139","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2717.9423","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3874.3738","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181169.18","179625.5","5484.931367829129","175390","202319","179648.83459150235","182689.52540849763","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21408.948","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144665.98","142704.5","6256.227524341368","138576","166388","142931.84220441378","146400.11779558624","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2717.9423","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3874.3738","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182541.6","180701.5","7178.332507751138","175432","215741","180551.8677432137","184531.33225678632","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21408.948","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"143455.82","142524","4465.6416760846","138258","162505","142218.0072794886","144693.6327205114","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3398.6935","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3877.5744","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181733.1","177898.5","17613.709388381747","174758","296979","176850.82884665343","186615.37115334658","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22212.4774","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144148.46","142779","5215.720089248249","135903","166263","142702.73615079967","145594.18384920032","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3398.6935","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3877.5744","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184350.24","184381","4001.5069587874636","176106","197064","183241.07885943467","185459.40114056531","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22212.4774","50","False","500","True","System.Boolean[]","System.String[]","False","System.Boolean[]","True","True","True","True","ci-windows-large","System.Boolean[]","System.Boolean[]","2026-07-02 02:36:07","4bd345f17a3a8c1a34516f06a6c650ab5582b499","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.83","High performance","0.22","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
