"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","TestKIR","Native","Methods","Dedicated","Common","FlushEarly","Enabled","JVM","InstrumentPropertyAccessors","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4112.1206","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135022.06","135141","4277.353832996876","128695","153142","133836.43800686824","136207.68199313176","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16837.7171","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153508.32","153442.5","5954.397546386046","140297","167063","151857.8452058914","155158.7947941086","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2491.3812","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4112.1206","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134263.76","134218","4681.214270172357","126849","154738","132966.19360498656","135561.32639501346","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16837.7171","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155361.78","155309.5","4607.732167359823","145595","165954","154084.58180471885","156638.97819528115","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1798.6322","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2899.4049","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133511.86","132919.5","4013.3992056711263","125396","141548","132399.402496776","134624.31750322398","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14429.2215","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153784.82","153490.5","4703.086336586621","143693","166305","152481.19097748637","155088.44902251364","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1798.6322","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2899.4049","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133076.08","132883.5","3362.5560724556194","128043","141398","132144.02700922627","134008.1329907737","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14429.2215","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153982.9","153316.5","5633.92604709022","142803","167827","152421.2553734604","155544.5446265396","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1581.6501","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2840.0234","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134043.54","133931","5393.07232951947","124440","151820","132548.65661787198","135538.42338212804","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15118.3848","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154694.18","154205.5","5267.2770399817","145267","164396","153234.16529316315","156154.19470683683","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1581.6501","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2840.0234","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133445.26","133253.5","3221.114256506495","127635","140766","132552.41268036907","134338.10731963094","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","15118.3848","50","False","500","True","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-linux-large","True","2026-04-17 02:50:25","23105c1ef85bd8aec37390df11919864b8b98081","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","14.03","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
