"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","InstrumentPropertyAccessors","JVM","TestKIR","FlushEarly","Enabled","Common","Methods","Native","CILabel","JS","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4495.8265","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"262637.62","260464.5","15319.776309031915","242370","322202","258391.19465596403","266884.04534403596","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24371.749","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236567.94","232827.5","16627.921310818605","208290","274599","231958.91536096088","241176.96463903913","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2647.7124","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4495.8265","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"262236.2","264881.5","27630.67679302874","230336","313725","254577.36713978325","269895.0328602168","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24371.749","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199024.78","200705.5","15156.9527822874","174871","262947","194823.48703496394","203226.07296503606","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3154.1868","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4170.9281","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234860.98","228782","10823.620878336378","224427","265934","231860.82535773495","237861.13464226507","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22678.861","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177612.48","177357.5","2212.760094155197","173427","184076","176999.13419425528","178225.82580574474","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3154.1868","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4170.9281","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"400305.48","278098.5","384879.6035313625","225516","2160648","293622.2967818128","506988.66321818717","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22678.861","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203997.2","202180","7212.382405223926","196651","239447","201998.0295931602","205996.37040683982","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3942.9093","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5407.1072","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"256466.78","256846","12372.70110296314","233121","292368","253037.2422262122","259896.3177737878","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","28301.587","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207265.94","204097.5","14516.789929370381","195655","293015","203242.09112475358","211289.78887524642","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3942.9093","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5407.1072","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253535.86","252881.5","11282.673393232975","233883","279314","250408.4624924229","256663.25750757707","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","28301.587","50","False","500","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-windows-large","True","True","2026-06-20 02:39:03","82a783522f2e7f247a7cfec20b5f59498a2e00ca","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.11","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.84","High performance","0.39","131","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
