"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JVM","FlushEarly","Common","Methods","CILabel","Reference","Enabled","TestKIR","JS","InstrumentPropertyAccessors","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6844.819","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252020.62","238716.5","26320.43246720723","226874","306201","244724.96833772067","259316.27166227932","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25432.9067","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204169.96","197495.5","15791.59074454709","189219","245049","199792.75436673273","208547.16563326726","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3000.8808","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6844.819","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226498.88","225315.5","3584.64066818419","221582","237188","225505.26829996068","227492.49170003933","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25432.9067","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185217.24","184526.5","4201.909238351887","180318","203803","184052.53018158334","186381.94981841664","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4049.1237","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5789.7286","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"255000.52","252842","16840.536602822976","226863","308431","250332.56140877484","259668.47859122514","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21840.16","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209554.76","210845","21502.719890188735","180756","321357","203594.51013306354","215515.00986693648","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4049.1237","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5789.7286","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240110.18","233181.5","15015.344019640817","226949","284392","235948.13898137034","244272.22101862964","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21840.16","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205852.38","217175","18958.754198813287","177818","230528","200597.2814465227","211107.4785534773","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4906.8572","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4933.4623","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227654.38","226425","5211.441959921712","221844","250562","226209.84198774866","229098.91801225135","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23358.8976","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183323.78","182432","5375.549248785881","178543","206986","181833.75376804385","184813.80623195614","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4906.8572","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4933.4623","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227916.18","226002","5896.373474485163","222232","251396","226281.78865805894","229550.57134194105","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23358.8976","50","False","500","True","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","2026-07-01 02:44:57","c4692dec03aa1ca936bb0811913e212c56810d3e","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.17","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.67","High performance","0.23","136","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
