"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Dedicated","TestKIR","Methods","InstrumentPropertyAccessors","JS","Reference","Enabled","FlushEarly","Native","Common","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5098.4048","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230949.48","229300.5","4875.801607522436","225473","246745","229597.97674688345","232300.98325311657","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23764.4325","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180544.44","179731","5780.712748795051","175495","215661","178942.10817557233","182146.77182442768","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3816.0539","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5098.4048","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233758.44","229599.5","19906.09731957338","226873","366939","228240.75133056115","239276.12866943885","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23764.4325","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179655","178916.5","4711.303636912365","174501","201600","178349.0932580433","180960.9067419567","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5297.3652","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4773.5927","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242939.96","244699","9098.202930787811","226245","256956","240418.0668123232","245461.85318767678","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27282.8444","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180702.52","180282.5","2735.2019754545754","176947","192162","179944.36069301455","181460.67930698543","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5297.3652","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4773.5927","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232382.14","229024","13686.293803730825","225766","319331","228588.49290609165","236175.78709390838","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27282.8444","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182503.68","180255.5","12143.446366275606","176006","262069","179137.6883971531","185869.67160284688","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4135.3765","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","7668.073","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231120.6","228960.5","6308.117688780878","225452","253178","229372.07898465017","232869.12101534984","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","29209.8354","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180833.86","179648","6648.305166901177","175392","224062","178991.04382656995","182676.67617343002","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4135.3765","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","7668.073","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231219.28","229254","5045.50643092344","227384","250668","229820.73696976408","232617.82303023592","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","29209.8354","50","False","500","ci-windows-large","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 02:11:53","63bedb1e14f0b89b2810ac85f6c1873bb4dd39ab","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.01","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.28","High performance","0.45","133","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
