"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","JVM","Reference","Native","Methods","InstrumentPropertyAccessors","JS","Common","FlushEarly","CILabel","TestKIR","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4495.6742","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136073.2","135799.5","3293.0723449975644","130516","147341","135160.40691585443","136985.9930841456","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16548.1293","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153147.84","152954","4837.139335750975","140459","164100","151807.05338186535","154488.62661813464","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2551.433","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4495.6742","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136751.4","136781.5","2881.689470446397","132605","145671","135952.636430996","137550.16356900398","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16548.1293","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154021.32","151866.5","5313.819881426628","144899","169989","152548.40427571302","155494.235724287","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2943.3336","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3702.0611","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136965.76","137203","2961.7365256462194","130580","143435","136144.80851930205","137786.71148069797","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19679.6481","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153269.56","153197.5","3924.512740637821","144717","161525","152181.74056787085","154357.37943212915","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2943.3336","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3702.0611","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137466.88","136910.5","3393.6432751813613","131641","147240","136526.21007625893","138407.54992374108","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19679.6481","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154535.72","154036","5763.1967639850845","141601","173177","152938.24335885452","156133.19664114548","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2166.9178","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4640.1251","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137527.7","137349","2643.2009293773385","132575","143773","136795.0420819291","138260.35791807092","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17408.0102","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154684.92","153758.5","5389.81894300424","144511","169150","153190.93841060533","156178.9015893947","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2166.9178","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4640.1251","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136207.1","135902.5","2787.3330406666223","130988","143603","135434.49069896358","136979.70930103643","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","17408.0102","50","False","500","System.Boolean[]","True","True","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","False","2026-07-27 03:24:14","163f6df8e15fd0cfe17a69f94504097001630f80","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.99","145","83","0.06","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
