"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Reference","JS","Enabled","FlushEarly","TestKIR","Common","Methods","Dedicated","Native","JVM","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3657.5036","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125217.26","124931","2183.0519435330125","118602","131589","124612.14887348177","125822.37112651822","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17990.3686","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144955.12","144863.5","5389.814966495716","133477","155929","143461.13951283725","146449.10048716274","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2582.8765","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3657.5036","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"124579.34","124631","1461.1555478805262","121606","128013","124174.32834546032","124984.35165453967","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17990.3686","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145888.24","146318.5","5024.029018017069","132176","158916","144495.650204893","147280.82979510698","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2573.044","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4064.4401","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125682.1","125170.5","2120.3626687288133","121835","131359","125094.36545391989","126269.83454608012","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16111.0121","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144458.54","144799","4878.250030032306","134022","152994","143106.35807878876","145810.72192121125","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2573.044","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4064.4401","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125330.74","125124","2215.0823894936498","121318","134583","124716.75048682884","125944.72951317117","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","16111.0121","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145487.58","146136","5344.5875658063105","130977","154116","144006.13590871263","146969.02409128734","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2307.9695","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3578.4878","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"126131.16","125681.5","2426.5724324231323","122476","136461","125458.54843777337","126803.77156222664","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14209.283","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145521.36","145058.5","4639.462524993205","135904","156513","144235.36659830643","146807.35340169354","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2307.9695","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3578.4878","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125379.84","125068","2275.052018781827","121301","132254","124749.22775366715","126010.45224633285","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14209.283","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","2026-06-23 03:49:49","e1f5ef9d33795e02c4589d61fad9635fe15c1bfd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.78","145","85","0.05","160","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
