"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Native","Enabled","CILabel","JS","Methods","Common","Reference","TestKIR","Dedicated","JVM","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5448.295","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234532.32","235268","9601.947233297025","216946","267675","231870.7960155062","237193.8439844938","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21145.7319","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186817.48","186187.5","4755.213131728511","181113","213846","185499.40216703844","188135.55783296158","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2778.542","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5448.295","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252788.12","248486","16025.56469843336","226425","316244","248346.06009552247","257230.17990447753","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21145.7319","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208737.36","209773","17681.815928258507","187172","280592","203836.21067694694","213638.50932305303","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2551.684","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3998.7049","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249200.44","245897","13967.187466373332","229587","292633","245328.9331551421","253071.9468448579","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21764.2532","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216576.34","216220.5","3862.1073586045936","208841","226943","215505.8184572476","217646.8615427524","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2551.684","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3998.7049","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252397.98","249947","14727.235888582736","232676","311548","248315.79848093932","256480.1615190607","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21764.2532","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219015.8","220873","15157.097406690978","186908","261457","214814.4669471245","223217.13305287546","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2271.2295","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3832.3215","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236591.98","229652","19261.396177688614","219446","310398","231252.9933698732","241930.96663012682","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19649.8076","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216960.34","216741.5","3467.598013622922","209380","231364","215999.1708686142","217921.5091313858","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2271.2295","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3832.3215","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222791.28","219644","9697.176170159128","216067","262457","220103.3599009142","225479.2000990858","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19649.8076","50","False","500","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","System.String[]","True","True","System.Boolean[]","False","True","System.Boolean[]","2026-04-14 01:53:06","e54e90b82e85cc91295673dc653198605110489d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.63","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.06","High performance","0.13","145","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
