"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Dedicated","Enabled","TestKIR","JVM","InstrumentPropertyAccessors","Native","Common","FlushEarly","Reference","JS","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3007.0696","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137370.32","137470.5","3411.2061152642664","129244","146474","136424.78190535767","138315.85809464235","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14994.0565","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154880.68","154833","4873.505796924126","145944","164196","153529.81311311445","156231.54688688554","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1667.651","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3007.0696","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138104.42","137131.5","4185.639088012969","132494","155080","136944.2200371685","139264.61996283152","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14994.0565","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154229.96","155139.5","4950.598207349516","142648","164380","152857.72418716803","155602.19581283195","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1448.0851","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3021.8915","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136718.64","136697","3550.560943092267","129724","148115","135734.47471780836","137702.80528219166","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14401.9979","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155390.52","155761.5","5373.124957202679","140292","171569","153901.16574738693","156879.87425261305","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1448.0851","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3021.8915","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140370.92","137978.5","10480.993758071547","133203","207634","137465.73675011675","143276.10324988328","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14401.9979","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154401.3","153765.5","5756.248112853953","139260","166960","152805.7494266818","155996.85057331817","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1286.0893","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2326.338","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138204.06","137543.5","4659.0076126898575","131416","159322","136912.64897639916","139495.47102360084","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14224.2243","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155285.4","154045.5","5008.630685820104","145764","166858","153897.07840481825","156673.72159518173","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1286.0893","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2326.338","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137886.9","137724","4068.215886601889","129808","148294","136759.24808802715","139014.55191197284","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14224.2243","50","False","500","System.String[]","False","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","ci-linux-large","2026-05-07 03:28:14","6eab0832e2d1cba27fa8a22eab8fd84ea390cf47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.07","162","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
