"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Methods","Native","Common","Enabled","JVM","TestKIR","Reference","InstrumentPropertyAccessors","JS","CILabel","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3940.8731","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138869.42","136805","14136.54645798526","131793","235189","134950.969237704","142787.87076229602","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15731.2329","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152163.58","151582.5","4184.693825339762","144921","160816","151003.6420506138","153323.51794938618","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2161.8471","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3940.8731","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137519.46","136039.5","6835.093819310422","131541","180176","135624.8686536452","139414.0513463548","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15731.2329","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154824.72","154451.5","5399.613837439617","146566","175269","153328.02340438502","156321.41659561498","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1796.7119","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2761.2571","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137003.42","136697","3156.178120798014","130968","151017","136128.57205887526","137878.26794112477","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14360.5039","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153662.72","154283.5","4923.292328165313","139429","166546","152298.0529907243","155027.3870092757","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1796.7119","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2761.2571","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137365.98","137124","2310.993173631508","132778","141839","136725.40537381454","138006.55462618548","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14360.5039","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152754.3","152851.5","4631.619050678958","140187","160363","151470.4806984657","154038.1193015343","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1710.6021","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2948.5888","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136820.52","136376","2482.0921330068904","131497","142776","136132.51916191864","137508.52083808134","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14044.1448","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152377.5","152045","4624.640258485861","143450","162586","151095.61512096913","153659.38487903087","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1710.6021","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2948.5888","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137746.78","137702","3353.5143630623247","132004","148015","136817.23324320427","138676.32675679572","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14044.1448","50","False","500","False","System.String[]","True","True","System.Boolean[]","True","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","System.Boolean[]","2026-08-04 02:44:20","14c175b317decc46d232ca67a0fc980d636aecd7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.86","145","83","0.07","162","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
