"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","TestKIR","Dedicated","Enabled","Reference","Common","JVM","CILabel","FlushEarly","JS","InstrumentPropertyAccessors","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3747.7346","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137602.72","137311.5","2635.865733473152","132838","145417","136872.09529450105","138333.34470549895","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18566.0381","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154713.8","155019.5","4624.634074878856","145711","163428","153431.9168349775","155995.68316502246","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2417.1475","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3747.7346","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138060.12","137935","3041.3154688760073","133176","149416","137217.11036162626","138903.12963837374","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18566.0381","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154637.9","154818","4909.56196246318","146352","171323","153277.0388539252","155998.7611460748","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2461.4873","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3559.4728","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138219.38","137590.5","4025.9043749605535","129420","157073","137103.45624069427","139335.30375930574","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18658.4448","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155323.44","155467","3995.196504375151","146754","165522","154216.02802815675","156430.85197184325","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2461.4873","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3559.4728","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139739.44","138129","12116.392803881821","132763","221362","136380.94726206327","143097.93273793673","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18658.4448","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155362.9","154121.5","5696.346997176779","146971","182078","153783.95316883942","156941.84683116057","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2521.4724","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5256.2145","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138077.42","138091","2611.051935093421","132886","142634","137353.67332850076","138801.16667149926","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20837.0671","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153738.68","154118","4273.579350724492","145698","166087","152554.10423997624","154923.25576002375","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2521.4724","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5256.2145","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137806.92","137785","2622.8442408646256","132092","144965","137079.90466810513","138533.9353318949","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20837.0671","50","False","500","True","System.Boolean[]","False","System.Boolean[]","True","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","System.String[]","2026-07-08 02:53:59","dcb632a539f42ccefd284a40f2e58c3753b67f41","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.72","145","85","0.02","160","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
