"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","JVM","Methods","Native","JS","InstrumentPropertyAccessors","FlushEarly","TestKIR","Common","Dedicated","Reference","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4181.0118","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144938.2","144398","3122.97690268338","139152","160099","144072.55496701246","145803.84503298756","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18732.1418","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143598.74","142607.5","5126.775275642455","134604","159192","142177.67039529368","145019.8096047063","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2291.7882","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4181.0118","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144985.86","144228","3349.7453635176757","140332","157215","144057.3579565777","145914.36204342227","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18732.1418","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142711.14","141970.5","4928.6890048501355","132598","153120","141344.97710826588","144077.30289173414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1810.8508","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2742.1806","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145253.62","144434","3875.816526954319","140725","165840","144179.29846965303","146327.94153034696","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14275.0847","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142193.88","141917.5","4691.387565681242","135461","156334","140893.49371133995","143494.26628866006","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1810.8508","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2742.1806","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145275.3","144402","3928.2461800427436","139387","157731","144186.44571126526","146364.15428873472","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14275.0847","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142601.26","141209.5","5644.1524980121085","134012","162253","141036.78074588504","144165.73925411497","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1328.1288","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2362.8489","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145213.2","144238","5067.93930266634","138582","169034","143808.4388949576","146617.96110504243","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13730.0026","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142298.38","142280.5","3597.6381645264355","135342","151290","141301.1655777823","143295.59442221772","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1328.1288","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2362.8489","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144987.66","144397.5","3862.552881138566","139927","163810","143917.01496470167","146058.30503529834","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13730.0026","50","False","500","ci-linux-large","True","System.String[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","False","True","System.Boolean[]","2026-08-10 01:58:27","1b9f8ae844881fafd966b6ec9c8215f46146f54f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.79","145","83","0.07","157","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
