"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Reference","CILabel","Methods","Native","FlushEarly","TestKIR","Common","JS","InstrumentPropertyAccessors","Dedicated","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3191.9804","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137755.22","137396","2730.878533156893","132653","145243","136998.25909007833","138512.18090992168","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15288.4521","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153978.6","154133","4331.1060518824825","144704","163788","152778.07865194493","155179.12134805508","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1792.8572","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3191.9804","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137583.7","137119","3404.190288513285","133328","151742","136640.10659331683","138527.2934066832","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15288.4521","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155481.9","155258","4958.33178517097","145895","171153","154107.52054876246","156856.27945123753","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1577.2039","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2852.6535","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137184.04","137088.5","2279.7836897032","133038","143749","136552.11620140198","137815.96379859804","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14509.9666","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155631.56","155588.5","4721.754154151283","143576","168996","154322.7565224535","156940.3634775465","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1577.2039","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2852.6535","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137302.54","137152.5","2515.01008404681","132849","143611","136605.41477140866","137999.66522859136","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14509.9666","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154389.3","153495","4295.847017997827","145824","166638","153198.55195751242","155580.04804248756","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1397.6034","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2638.2733","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137566.08","137594","2361.5897779215748","133321","144887","136911.48071063112","138220.67928936885","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14446.9751","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156574.94","156349","5359.631575862243","146779","169497","155089.32592187414","158060.55407812586","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1397.6034","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2638.2733","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136459.16","136176","2617.9213623773803","130235","143219","135733.50922040353","137184.81077959648","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14446.9751","50","False","500","System.Boolean[]","True","ci-linux-large","System.String[]","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","False","True","2026-07-19 02:55:32","1ba7555b99327cd48800f2e6d2d3d304e534e622","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.77","145","84","0.02","163","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
