"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Dedicated","Methods","Enabled","Native","Reference","FlushEarly","InstrumentPropertyAccessors","TestKIR","Common","JVM","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4240.6833","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136603.46","135565","5285.966809450496","131721","166256","135138.26475337293","138068.65524662705","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18359.0383","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"160503.78","161041.5","5009.650561319682","150592","169644","159115.17570975263","161892.38429024737","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2336.2707","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4240.6833","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136975.88","136557.5","2487.035869037186","132884","144519","136286.50882820427","137665.25117179574","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18359.0383","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"162202","162154","5053.73022870135","151374","171457","160801.17744931916","163602.82255068084","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3034.6052","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3754.2632","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137913.12","136566","7893.576819523218","132641","189191","135725.13213481448","140101.1078651855","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","23275.8502","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159942.82","160286","5175.6554576129165","149573","170014","158508.201500104","161377.438499896","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3034.6052","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3754.2632","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136351.62","136337","2618.399900001245","131543","143823","135625.83657654157","137077.40342345843","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","23275.8502","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"161425.4","160303","4744.598088395704","152654","174100","160110.26450693473","162740.53549306525","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2820.475","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4402.0324","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137131.72","136133","4075.4963240502298","132358","151966","136002.0500537248","138261.38994627522","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19350.8275","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"161632.48","161346.5","5192.099965390906","152797","175683","160193.30331510247","163071.65668489755","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2820.475","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4402.0324","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137025.84","136294","4213.573394327877","130423","157095","135857.89704249866","138193.78295750133","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19350.8275","50","False","500","ci-linux-large","False","System.String[]","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","True","2026-05-16 03:27:49","c4742c33f5353b5d02bbfc0059a184264a867a54","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.7","145","86","0.03","159","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
