"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","FlushEarly","Native","Reference","Enabled","Methods","JS","JVM","CILabel","InstrumentPropertyAccessors","Common","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2649.3167","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"116729.46","116650.5","2153.3632944673277","112805","121565","116132.5781471526","117326.34185284741","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13017.117","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132880.84","132664.5","4682.264611514913","124868","147830","131582.9824652201","134178.6975347799","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1735.2493","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2649.3167","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"117598.3","117085.5","2928.911654453209","113626","130490","116786.44710939481","118410.1528906052","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13017.117","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134532.68","134592.5","4886.532581598164","125871","145889","133178.20227262465","135887.15772737534","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1442.5607","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2197.7443","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"117462.06","117127","2845.5679854102655","113115","132726","116673.3087958261","118250.8112041739","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12574.1327","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134050.58","133478.5","4880.756231510499","121331","143638","132697.7033951811","135403.45660481887","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1442.5607","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2197.7443","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"116236.58","115765.5","2464.8414701682595","112917","127340","115553.36080170253","116919.79919829748","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12574.1327","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132981.22","132237","3962.181610410804","124319","140912","131882.95928987447","134079.48071012553","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1254.4788","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2242.8205","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"116957.84","116775.5","3159.394661472159","111588","130405","116082.10047928795","117833.57952071204","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12644.7047","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133708.86","133593.5","3543.6189331339374","125129","141178","132726.61894479644","134691.10105520353","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1254.4788","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2242.8205","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"116849.6","116250.5","2417.80716977266","113784","126105","116179.4180446237","117519.78195537631","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12644.7047","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","ci-linux-large","System.Boolean[]","True","System.Boolean[]","2026-09-22 03:55:10","02563344df9f62c3c41825a73488ae4839ab29f4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.06","145","82","0.02","151","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
