"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Dedicated","JVM","FlushEarly","Reference","Common","Native","InstrumentPropertyAccessors","TestKIR","JS","Methods","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"176095.5","175865","2592.9251565263003","171757","188660","175376.77781517475","176814.22218482525","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","6892.9405","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5149.5021","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243674.38","241804.5","15589.936552462164","224627","305996","239353.0700570305","247995.6899429695","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21912.7375","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195251.26","194571.5","10197.858468285569","178626","223628","192424.5578484099","198077.96215159012","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4452.3791","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","7426.5708","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232463.86","229694.5","9516.364637758239","224993","282787","229826.05830069972","235101.66169930025","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25750.6334","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177914.86","177308","3597.210517972537","173493","190596","176917.7641153593","178911.95588464066","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4452.3791","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","7426.5708","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235102.14","228621.5","17880.493667578827","224150","335633","230145.92001726324","240058.3599827368","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25750.6334","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190808.88","184152.5","12760.189542831233","178397","233083","187271.93591045504","194345.82408954497","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4043.7445","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4300.813","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233972.1","231100","7751.929016676549","227326","263982","231823.37490261227","236120.82509738774","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","24042.8192","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180462.76","179553.5","3732.1287330423106","175634","192800","179428.26669412502","181497.253305875","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4043.7445","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4300.813","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233339.38","231391","6057.394219481184","227581","254126","231660.3559846652","235018.40401533482","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","24042.8192","50","False","500","ci-windows-large","False","True","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","2026-07-22 01:54:05","7155f6b787698ad7b2fe492ab21e163dce12cdc6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.53","High performance","0.13","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
