"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","JVM","FlushEarly","CILabel","Dedicated","Common","Methods","InstrumentPropertyAccessors","TestKIR","Native","Enabled","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4755.1828","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137058.06","137643","3138.580228936228","129616","142669","136188.0899456339","137928.0300543661","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20413.2021","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158290.24","156963","6915.556278066288","147056","176306","156373.34559796003","160207.13440203996","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2321.3605","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4755.1828","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138020.92","137883.5","3080.0147616926924","130948","146305","137167.18346493418","138874.65653506585","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20413.2021","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157843.4","157122","6266.228058539895","143313","172044","156106.49019775924","159580.30980224075","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2409.8674","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4767.9594","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136995.42","136579","3049.4352577860336","132273","143604","136150.15967096863","137840.6803290314","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19946.5502","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158287.26","158339","5862.229261178058","147779","171967","156662.33295112793","159912.1870488721","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2409.8674","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4767.9594","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138121.52","137391.5","4554.524716976627","130677","159215","136859.07015751727","139383.9698424827","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19946.5502","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157587.6","157627.5","5504.915832828928","145291","175296","156061.71518042023","159113.48481957978","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2040.6532","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3256.3755","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143452.74","137268.5","39843.79070658057","130002","418055","132408.60467805414","154496.87532194584","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18873.1993","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159088.06","158977","6940.931003864552","146803","174457","157164.1320828124","161011.9879171876","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2040.6532","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3256.3755","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137588.12","137413.5","3346.147359064066","131244","146571","136660.6152725301","138515.6247274699","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18873.1993","50","False","500","True","True","System.Boolean[]","ci-linux-large","False","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-05-05 02:57:31","e60c6bd9f5638347b9ac6e0c16fc2bba9943f570","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.9","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
