"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","InstrumentPropertyAccessors","FlushEarly","Dedicated","Enabled","TestKIR","CILabel","JS","Native","Reference","JVM","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144314.1","143957","2706.7343321607977","139385","150757","143563.8315211526","145064.3684788474","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18221.5293","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143596.5","144275.5","3567.0256302609846","136006","152286","142607.7709393651","144585.2290606349","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2678.5187","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4333.2199","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145743.54","144139","6525.756427215694","140369","184692","143934.6926041541","147552.38739584593","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20333.1663","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142404.02","142431","3924.882285976932","131782","151514","141316.09813512888","143491.9418648711","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2678.5187","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4333.2199","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145660.74","145545","2938.5686562248193","139846","159210","144846.21032507086","146475.26967492912","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","20333.1663","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142491.42","141860","4954.784284890304","135278","157038","141118.02386567232","143864.8161343277","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2124.3952","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3008.2514","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146517.02","145652.5","5193.827378371998","140358","163277","145077.3645006528","147956.67549934718","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14618.523","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142636.74","142331","5289.526913802097","131741","164666","141170.55794279286","144102.92205720712","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2124.3952","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3008.2514","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145107.66","144572.5","2508.2658421909823","139863","149981","144412.40417987554","145802.91582012447","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14618.523","50","False","500","System.String[]","System.Boolean[]","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","True","True","2026-09-15 03:57:50","be9f7a70732773452fb7e5c4dbaa7e0e143ec7c4","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.92","145","83","0.02","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
