"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Methods","FlushEarly","InstrumentPropertyAccessors","Dedicated","JS","JVM","TestKIR","Common","Native","Reference","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4060.5381","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136739.72","136619","3642.919153757921","129757","152298","135729.95432792086","137749.48567207914","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16831.213","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158192.72","158593.5","5099.056067268025","148323","172868","156779.33376785627","159606.10623214373","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2488.7787","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4060.5381","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135351.74","135415","2382.527716265964","131378","139642","134691.33701022167","136012.1429897783","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16831.213","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157953.88","157841","5036.434767668455","148398","167626","156557.85150652897","159349.90849347104","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2750.2934","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4054.406","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136209.08","135819","2763.141290160124","131931","143061","135443.17631008968","136974.9836899103","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14856.4323","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156352.24","156778","5434.897890860659","145342","171707","154845.76316375585","157858.71683624413","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2750.2934","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4054.406","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135828.98","134836.5","3393.7171210268866","131440","151886","134888.28960723488","136769.67039276514","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14856.4323","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157267.88","157820.5","4328.132767211773","149215","167329","156068.1828044081","158467.5771955919","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1485.9594","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2975.271","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135939","135338.5","2512.9442200457265","131531","141283","135242.44739969476","136635.55260030524","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14369.871","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157007.6","156893.5","5122.841805410871","147755","168545","155587.62069761564","158427.57930238437","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1485.9594","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2975.271","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135847.52","135983","2474.3276657611495","130242","145141","135161.67136243582","136533.36863756416","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14369.871","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","True","True","True","ci-linux-large","2026-05-20 03:51:26","8d3c48599b6fbb823b7a96f36b147020bfb8cf66","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.89","145","86","0.12","153","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
