"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","Enabled","Dedicated","CILabel","JS","Methods","TestKIR","Common","Native","FlushEarly","JVM","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3507.7058","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182804.76","178115","9966.423638663275","173899","214284","180042.20831028195","185567.31168971807","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","18676.3099","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"145514.2","141659.5","8005.770255743985","135663","162924","143295.11370090843","147733.2862990916","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3560.9657","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3507.7058","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179564.98","177895","6031.031097717259","175356","216781","177893.26346919683","181236.6965308032","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","18676.3099","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"140212.68","139942.5","2243.9695279680113","135904","150641","139590.68338055915","140834.67661944084","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1917.3611","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3382.1848","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180272","178596","4819.055665812969","175579","202230","178936.22591943698","181607.77408056302","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","15141.1823","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"140544.88","140364","2762.434667359316","135868","155814","139779.17217593716","141310.58782406285","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1917.3611","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3382.1848","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180437.16","178002","7769.153525609455","174262","222055","178283.6605123212","182590.65948767881","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","15141.1823","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"141471.64","140269","4062.2290340277414","136788","153845","140345.64755889602","142597.632441104","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1650.7168","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2803.3157","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183550.48","182377","6153.556941331093","177258","215281","181844.80103807995","185256.15896192007","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","16861.4296","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"143162.3","139490","8375.17334392646","134898","166620","140840.82038887954","145483.77961112044","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1650.7168","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2803.3157","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179060.84","177594.5","4666.130352194789","174918","198958","177767.45465373658","180354.2253462634","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","16861.4296","50","False","500","True","System.Boolean[]","False","ci-windows-large","True","System.String[]","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-19 03:35:22","ccd3b4ef3ea24677fa0daaacbb2502eeb73abfb2","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.49","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.98","High performance","0.13","139","True","False","7.6.2","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
