"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","JS","InstrumentPropertyAccessors","Native","Enabled","FlushEarly","TestKIR","Reference","JVM","CILabel","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6065.101","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"266909.36","272128.5","19896.184148315315","225510","299776","261394.41912144405","272424.3008785559","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","31298.3783","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248254.68","246333.5","11514.124739108707","226831","272414","245063.12745247898","251446.232547521","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4451.6177","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6065.101","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"245285.92","235953.5","24143.5753602722","217228","292912","238593.66234313993","251978.1776568601","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","31298.3783","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200329.2","199240","16487.274339406653","181745","243850","195759.16071243846","204899.23928756156","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5437.1439","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","6308.5022","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220827.86","217825","14911.014029507292","214562","319980","216694.73777922412","224960.98222077586","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","38084.4726","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"311824.5","186947.5","595785.187363264","179553","4385591","146681.2715228958","476967.7284771042","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5437.1439","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","6308.5022","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244517.16","242099.5","11431.02875253249","227143","275211","241348.6404848332","247685.67951516682","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","38084.4726","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"214376.56","213841.5","4843.562161745617","206912","236352","213033.9930653298","215719.1269346702","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2504.7379","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3412.8125","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246315.68","242830","12465.135231696839","228862","277417","242860.52079290984","249770.83920709015","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19985.4535","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"213706.88","214186","3407.4494060358215","205564","221437","212762.38321202926","214651.37678797074","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2504.7379","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3412.8125","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244779.96","244358.5","12499.409865188005","226558","277467","241315.30034921024","248244.61965078974","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19985.4535","50","False","500","System.String[]","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","False","2026-07-24 01:57:14","66033ea6ddd5099de2242ef48014107c6b1e91a9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.39","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.31","High performance","0.3","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
