"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Dedicated","Reference","JVM","JS","FlushEarly","InstrumentPropertyAccessors","Common","Native","Enabled","CILabel","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4746.1913","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227989.2","227184","4567.729329162335","222852","255000","226723.09002575607","229255.30997424395","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27498.1776","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195912.4","193614.5","8720.409080462467","189106","245980","193495.2259249578","198329.57407504218","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4575.438","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4746.1913","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225049.26","223160.5","6324.641149165246","219996","248250","223296.1589151027","226802.36108489733","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","27498.1776","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190937.8","190262.5","4533.579524627582","184164","218073","189681.15586863423","192194.44413136574","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4669.7954","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4635.3961","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224963.2","223068","5893.691116744399","219965","244161","223329.55216969142","226596.8478303086","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26705.634","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189689.3","189255.5","2799.6027433205886","185203","198053","188913.28971090325","190465.31028909673","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4669.7954","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4635.3961","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233191.4","228719","14760.288883296538","218647","274894","229100.05665823264","237282.74334176735","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","26705.634","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209638.94","206549.5","13049.614752949921","192739","251878","206021.7713351963","213256.1086648037","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4226.7452","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","7369.1492","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229121.4","225530","12830.777222072285","220915","293263","225564.89000400447","232677.90999599552","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","30556.2899","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197636.78","200240.5","8223.020990847486","186471","213063","195357.47486944872","199916.08513055128","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4226.7452","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","7369.1492","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222886.22","221595.5","4046.2790782623574","218822","235489","221764.64866107347","224007.79133892653","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","30556.2899","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
