"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","CILabel","JS","Reference","TestKIR","Common","Methods","Dedicated","Native","JVM","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4009.6438","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143710.16","143843.5","2783.753869603168","138109","149023","142938.54279456654","144481.77720543346","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16844.3864","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144923.02","144675.5","5540.245159572207","134238","161890","143387.34239066637","146458.6976093336","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2539.1184","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4009.6438","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144136.9","144149","3561.164813165857","137116","156388","143149.79547498148","145124.0045250185","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16844.3864","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143762.14","143149.5","4076.2273724910024","134449","153668","142632.26741743533","144892.0125825647","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1943.1177","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3336.5241","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144355.48","143993","3103.3889128644187","138878","152902","143495.26448078133","145215.6955192187","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14962.0581","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145678.74","145520","4954.591310438166","136763","159329","144305.39735546143","147052.08264453855","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1943.1177","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3336.5241","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146028.52","144626","5877.662256512589","139543","175834","144399.31514307112","147657.72485692886","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14962.0581","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144290.42","143904","5194.112589799166","135812","164626","142850.68544407858","145730.15455592144","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1560.2992","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2810.9302","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144596.92","144109.5","4072.2076389464573","138430","161018","143468.16163072773","145725.6783692723","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14165.0784","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143484.96","142411","4712.261699534308","133843","155529","142178.78769663317","144791.13230336682","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1560.2992","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2810.9302","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144008.36","143790","3723.1418253175066","136541","155234","142976.3577378555","145040.36226214448","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14165.0784","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
