"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","TestKIR","Dedicated","Native","InstrumentPropertyAccessors","JS","Methods","CILabel","Reference","JVM","Enabled","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4445.1375","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224615.88","223968.5","2573.431145932827","220988","235274","223902.56127923133","225329.19872076868","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19821.2859","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185882.78","185821","3025.222240377303","179433","198400","185044.2311769793","186721.3288230207","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3478.9056","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4445.1375","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225750.02","225091.5","3396.292176861738","220682","241575","224808.61583817328","226691.4241618267","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","19821.2859","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186148.58","185797.5","3937.1325424393185","179645","199234","185057.26253727786","187239.89746272212","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2507.2232","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3440.7427","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225658.9","224902","4352.550550644802","220657","251175","224452.43454015127","226865.36545984872","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17632.5933","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184713.76","184410.5","3479.6003908495013","177083","196441","183749.2639793819","185678.2560206181","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2507.2232","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3440.7427","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225120.74","224788","2827.2636573484383","220248","236643","224337.06249670914","225904.41750329084","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17632.5933","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184289.2","183378","4559.045899111356","179264","204749","183025.49694976708","185552.90305023294","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2214.9483","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3135.0085","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225246.62","224460","3404.0080450874975","220978","239205","224303.07710861717","226190.16289138282","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17110.5365","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184960.74","184811.5","3566.8255640681105","177784","197422","183972.06639488446","185949.41360511552","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2214.9483","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3135.0085","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224733.16","224599","2054.8539980907135","220816","229614","224163.5835310119","225302.73646898812","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17110.5365","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
