"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","Dedicated","InstrumentPropertyAccessors","FlushEarly","JVM","Methods","Enabled","CILabel","Reference","JS","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"129007.9","128367.5","2622.056080986205","125588","136580","128281.10313487743","129734.69686512256","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17806.7033","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146190.32","145500.5","5439.886183683309","132444","157684","144682.46047952873","147698.17952047128","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2562.7084","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4711.5198","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"129171.58","128812","2741.942310904176","123837","138915","128411.55236734824","129931.60763265177","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17806.7033","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"149585.34","148136","6468.330991903269","139413","176274","147792.4101227251","151378.2698772749","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2474.3473","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4430.2832","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"130781.88","130450.5","2401.237416034338","127132","139393","130116.29094603423","131447.46905396576","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18759.9295","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"147674.28","147474","4308.54859334608","138901","156182","146480.0112604487","148868.5487395513","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2474.3473","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4430.2832","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131655.7","131180.5","2604.61137568877","127266","139305","130933.73856048679","132377.66143951323","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18759.9295","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146641.66","145716.5","4440.227957054935","138539","157827","145410.89160300852","147872.42839699148","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2442.4505","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4209.7344","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"129872.58","129280.5","2782.865122385156","125815","139061","129101.2091427269","130643.9508572731","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18923.3213","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"147433.56","146784.5","4719.725200232983","137323","157744","146125.31891978666","148741.80108021334","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2442.4505","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4209.7344","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"129979","129660.5","2516.3096156142337","125784","140040","129281.51455963583","130676.48544036417","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18923.3213","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
